from_station_id,to_station_id,route_path,lines_used,transfer_stations,transfer_count,in_train_time_min,transfer_time_min
I14,H18,I14→I13→I12→E07→E08→E09→G15→G16→H17→H18,"H,G,E,I","I12,E09,G16",3,14.5,18
I14,H19,I14→I13→I12→E07→E08→E09→G15→G16→H17→H18→H19,"H,G,E,I","I12,E09,G16",3,17.3,18
I14,H20,I14→I13→I12→E07→E08→E09→G15→G16→H17→H18→H19→H20,"H,G,E,I","I12,E09,G16",3,20.1,18
I14,H21,I14→I13→I12→E07→E08→E09→G15→G16→H17→H18→H19→H20→H21,"H,G,E,I","I12,E09,G16",3,22.3,18
I14,H22,I14→I13→I12→E07→E08→E09→G15→G16→H17→H18→H19→H20→H21→C18→H22,"H,G,E,I","I12,E09,G16,H21,C18",5,22.3,30
I14,I01,I14→I13→I12→E07→M11→M12→M13→G05→G06→G07→G08→A10→A09→A08→I04→I03→N01→I01,"A,G,M,I","I12,E07,M13,G08,A08,I03,N01",7,26.8,42
I14,I02,I14→I13→I12→E07→M11→M12→M13→G05→G06→G07→G08→A10→A09→A08→I04→I03→N01→I02,"A,G,M,I","I12,E07,M13,G08,A08,I03,N01",7,26.8,42
I14,I03,I14→I13→I12→E07→M11→M12→M13→G05→G06→G07→G08→A10→A09→A08→I04→I03,"A,G,M,I","I12,E07,M13,G08,A08",5,26.8,30
I14,I04,I14→I13→I12→E07→M11→M12→M13→G05→G06→G07→G08→A10→A09→A08→I04,"A,G,M,I","I12,E07,M13,G08,A08",5,23.3,30
I14,I05,I14→I13→I12→I11→I10→I09→I08→I07→I06→I05,I,NA,0,22.7,0
I14,I06,I14→I13→I12→I11→I10→I09→I08→I07→I06,I,NA,0,20.7,0
I14,I07,I14→I13→I12→I11→I10→I09→I08→I07,I,NA,0,18,0
I14,I08,I14→I13→I12→I11→I10→I09→I08,I,NA,0,15.6,0
I14,I09,I14→I13→I12→I11→I10→I09,I,NA,0,13.2,0
I14,I10,I14→I13→I12→I11→I10,I,NA,0,10.1,0
I14,I11,I14→I13→I12→I11,I,NA,0,7.6,0
I14,I12,I14→I13→I12,I,NA,0,5.6,0
I14,I13,I14→I13,I,NA,0,2.5,0
I14,I15,I14→I15,I,NA,0,2.4,0
I14,I16,I14→I15→I16,I,NA,0,5.5,0
I14,I17,I14→I15→I16→I17,I,NA,0,8,0
I14,I18,I14→I15→I16→I17→I18,I,NA,0,10.4,0
I14,I19,I14→I15→I16→I17→I18→I19,I,NA,0,13.2,0
I14,I20,I14→I15→I16→I17→I18→I19→I20,I,NA,0,15.6,0
I14,I21,I14→I15→I16→I17→I18→I19→I20→I21,I,NA,0,18.3,0
I14,I22,I14→I15→I16→I17→I18→I19→I20→I21→I22,I,NA,0,20.7,0
I14,I23,I14→I15→I16→I17→I18→I19→I20→I21→I22→I23,I,NA,0,23.5,0
I14,I24,I14→I15→I16→I17→I18→I19→I20→I21→I22→I23→I24,I,NA,0,25.7,0
I14,I25,I14→I15→I16→I17→I18→I19→I20→I21→I22→I23→I24→I25,I,NA,0,28.2,0
I14,I26,I14→I15→I16→I17→I18→I19→I20→I21→I22→I23→I24→I25→I26,I,NA,0,30.2,0
I14,I27,I14→I15→I16→I17→I18→I19→I20→I21→I22→I23→I24→I25→I26→I27,I,NA,0,32.4,0
I14,M01,I14→I13→I12→E07→M11→M10→M09→M08→M07→M06→M05→M04→M03→M02→M01,"M,I","I12,E07",2,29.9,12
I14,M02,I14→I13→I12→E07→M11→M10→M09→M08→M07→M06→M05→M04→M03→M02,"M,I","I12,E07",2,26.7,12
I14,M03,I14→I13→I12→E07→M11→M10→M09→M08→M07→M06→M05→M04→M03,"M,I","I12,E07",2,23.9,12
I14,M04,I14→I13→I12→E07→M11→M10→M09→M08→M07→M06→M05→M04,"M,I","I12,E07",2,21.5,12
I14,M05,I14→I13→I12→E07→M11→M10→M09→M08→M07→M06→M05,"M,I","I12,E07",2,19,12
I14,M06,I14→I13→I12→E07→M11→M10→M09→M08→M07→M06,"M,I","I12,E07",2,16.3,12
I14,M07,I14→I13→I12→E07→M11→M10→M09→M08→M07,"M,I","I12,E07",2,13.6,12
I14,M08,I14→I13→I12→E07→M11→M10→M09→M08,"M,I","I12,E07",2,11.4,12
I14,M09,I14→I13→I12→E07→M11→M10→M09,"M,I","I12,E07",2,10,12
I14,M10,I14→I13→I12→E07→M11→M10,"M,I","I12,E07",2,8,12
I14,M11,I14→I13→I12→E07→M11,I,"I12,E07",2,5.6,12
I14,M12,I14→I13→I12→E07→M11→M12,"M,I","I12,E07",2,8.1,12
I14,M13,I14→I13→I12→E07→M11→M12→M13,"M,I","I12,E07",2,11.1,12
I14,M14,I14→I13→I12→E07→M11→M12→M13→M14,"M,I","I12,E07",2,13.5,12
I14,M15,I14→I13→I12→E07→M11→M12→M13→M14→M15,"M,I","I12,E07",2,15.5,12
I14,M16,I14→I13→I12→I11→I10→I09→M18→M17→M16,"M,I",I09,1,17.8,6
I14,M17,I14→I13→I12→I11→I10→I09→M18→M17,"M,I",I09,1,15.1,6
I14,M18,I14→I13→I12→I11→I10→I09→M18,I,I09,1,13.2,6
I14,M19,I14→I13→I12→M22→M21→M20→M19,"M,I",I12,1,12.2,6
I14,M20,I14→I13→I12→M22→M21→M20,"M,I",I12,1,10,6
I14,M21,I14→I13→I12→M22→M21,"M,I",I12,1,7.8,6
I14,M22,I14→I13→I12→M22,I,I12,1,5.6,6
I14,M23,I14→I13→I12→M22→M23,"M,I",I12,1,9.3,6
I14,M24,I14→I13→I12→M22→M23→M24,"M,I",I12,1,12.1,6
I14,M25,I14→I13→I12→M22→M23→M24→M25,"M,I",I12,1,15.8,6
I14,Mb03,I14→I13→I12→E07→M11→M10→M09→M08→M07→M06→Mb05→Mb04→Mb03,"M,I","I12,E07",2,24.2,12
I14,Mb04,I14→I13→I12→E07→M11→M10→M09→M08→M07→M06→Mb05→Mb04,"M,I","I12,E07",2,21.2,12
I14,Mb05,I14→I13→I12→E07→M11→M10→M09→M08→M07→M06→Mb05,"M,I","I12,E07",2,19.3,12
I14,N01,I14→I13→I12→E07→M11→M12→M13→G05→G06→G07→G08→A10→A09→A08→I04→I03→N01,"A,G,M,I","I12,E07,M13,G08,A08,I03",6,26.8,36
I14,N02,I14→I13→I12→E07→M11→M12→N08→N07→N06→N05→N04→N03→N02,"N,M,I","I12,E07,M12",3,24.2,18
I14,N03,I14→I13→I12→E07→M11→M12→N08→N07→N06→N05→N04→N03,"N,M,I","I12,E07,M12",3,21.7,18
I14,N04,I14→I13→I12→E07→M11→M12→N08→N07→N06→N05→N04,"N,M,I","I12,E07,M12",3,18.7,18
I14,N05,I14→I13→I12→E07→M11→M12→N08→N07→N06→N05,"N,M,I","I12,E07,M12",3,15.9,18
I14,N06,I14→I13→I12→E07→M11→M12→N08→N07→N06,"N,M,I","I12,E07,M12",3,13.5,18
I14,N07,I14→I13→I12→E07→M11→M12→N08→N07,"N,M,I","I12,E07,M12",3,11.1,18
I14,N08,I14→I13→I12→E07→M11→M12→N08,"M,I","I12,E07,M12",3,8.1,18
I14,N09,I14→I13→I12→E07→M11→M12→N08→N09,"N,M,I","I12,E07,M12",3,10.6,18
I14,N10,I14→I13→I12→E07→E06→N10,"E,I","I12,E06",2,8.1,12
I14,N11,I14→I13→I12→N11,I,I12,1,5.6,6
I14,N12,I14→I13→I12→N11→N12,"N,I",I12,1,8.6,6
I14,N13,I14→I13→I12→N11→N12→N13,"N,I",I12,1,11,6
I14,N14,I14→I13→I12→N11→N12→N13→N14,"N,I",I12,1,14.1,6
I14,N15,I14→I13→I12→N11→N12→N13→N14→N15,"N,I",I12,1,17.2,6
I14,N16,I14→I13→I12→N11→N12→N13→N14→N15→N16,"N,I",I12,1,19.7,6
I14,N17,I14→I13→I12→N11→N12→N13→N14→N15→N16→N17,"N,I",I12,1,22.5,6
I14,N18,I14→I13→I12→N11→N12→N13→N14→N15→N16→N17→N18,"N,I",I12,1,25.9,6
I14,N19,I14→I13→I12→N11→N12→N13→N14→N15→N16→N17→N18→N19,"N,I",I12,1,28.6,6
I14,S01,I14→I13→I12→E07→M11→M10→M09→M08→S01,"M,I","I12,E07,M08",3,11.4,18
I14,S02,I14→I13→I12→E07→M11→M10→M09→F13→S02,"M,I","I12,E07,M09,F13",4,10,24
I14,S03,I14→I13→I12→E07→M11→M10→M09→F13→S02→S03,"M,I,S","I12,E07,M09,F13",4,13.2,24
I14,S04,I14→I13→I12→E07→M11→M12→N08→N09→S04,"N,M,I","I12,E07,M12,N09",4,10.6,24
I14,S05,I14→I13→I12→E07→E06→T06→T07→S05,"T,E,I","I12,E06,T07",3,10.1,18
I14,S06,I14→I13→I12→I11→I10→S06,I,I10,1,10.1,6
I14,S07,I14→I13→I12→M22→M21→M20→M19→S07,"M,I","I12,M19",2,12.2,12
I14,S08,I14→I13→I12→E07→E08→E09→H16→H15→S08,"H,E,I","I12,E09,H15",3,12.9,18
I14,S09,I14→I13→I12→E07→E08→E09→H16→H15→S08→S09,"H,E,I,S","I12,E09,H15",3,15.1,18
I14,S10,I14→I13→I12→E07→E08→E09→H16→H15→S08→S09→S10,"H,E,I,S","I12,E09,H15",3,17,18
I14,S11,I14→I13→I12→E07→E08→E09→H16→H15→S08→S09→S10→S11,"H,E,I,S","I12,E09,H15",3,19.2,18
I14,S12,I14→I13→I12→E07→E08→E09→H16→H15→S08→S09→S10→S11→S12,"H,E,I,S","I12,E09,H15",3,21.4,18
I14,S13,I14→I13→I12→E07→E08→E09→H16→H15→S08→S09→S10→S11→S12→S13,"H,E,I,S","I12,E09,H15",3,23.8,18
I14,S14,I14→I13→I12→E07→E08→E09→H16→H15→S08→S09→S10→S11→S12→S13→S14,"H,E,I,S","I12,E09,H15",3,26.3,18
I14,S15,I14→I13→I12→E07→E08→E09→H16→H15→S08→S09→S10→S11→S12→S13→S14→S15,"H,E,I,S","I12,E09,H15",3,28.3,18
I14,S16,I14→I13→I12→E07→E08→E09→H16→H15→S08→S09→S10→S11→S12→S13→S14→S15→S16,"H,E,I,S","I12,E09,H15",3,31.1,18
I14,S17,I14→I13→I12→E07→E08→E09→H16→H15→S08→S09→S10→S11→S12→S13→S14→S15→S16→S17,"H,E,I,S","I12,E09,H15",3,34.6,18
I14,S18,I14→I13→I12→E07→E08→E09→H16→H15→S08→S09→S10→S11→S12→S13→S14→S15→S16→S17→S18,"H,E,I,S","I12,E09,H15",3,38.1,18
I14,S19,I14→I13→I12→E07→E08→E09→H16→H15→S08→S09→S10→S11→S12→S13→S14→S15→S16→S17→S18→S19,"H,E,I,S","I12,E09,H15",3,41.6,18
I14,S20,I14→I13→I12→E07→E08→E09→H16→H15→S08→S09→S10→S11→S12→S13→S14→S15→S16→S17→S18→S19→S20,"H,E,I,S","I12,E09,H15",3,44.8,18
I14,S21,I14→I13→I12→E07→E08→E09→H16→H15→S08→S09→S10→S11→S12→S13→S14→S15→S16→S17→S18→S19→S20→S21,"H,E,I,S","I12,E09,H15",3,50,18
I14,T01,I14→I13→I12→E07→E06→T06→T05→T04→T03→T02→T01,"T,E,I","I12,E06",2,25,12
I14,T02,I14→I13→I12→E07→E06→T06→T05→T04→T03→T02,"T,E,I","I12,E06",2,21,12
I14,T03,I14→I13→I12→E07→E06→T06→T05→T04→T03,"T,E,I","I12,E06",2,17.2,12
I14,T04,I14→I13→I12→E07→E06→T06→T05→T04,"T,E,I","I12,E06",2,13.7,12
I14,T05,I14→I13→I12→E07→E06→T06→T05,"T,E,I","I12,E06",2,10.9,12
I14,T06,I14→I13→I12→E07→E06→T06,"E,I","I12,E06",2,8.1,12
I14,T07,I14→I13→I12→E07→E06→T06→T07,"T,E,I","I12,E06",2,10.1,12
I14,T08,I14→I13→I12→E07→E06→T06→T07→T08,"T,E,I","I12,E06",2,12.6,12
I14,T09,I14→I13→I12→E07→E06→T06→T07→T08→T09,"T,E,I","I12,E06",2,15.1,12
I14,T10,I14→I13→I12→I11→I10→I09→Z08→Z09→G12→G11→T10,"Z,G,I","I09,Z09,G11",3,17.1,18
I14,T11,I14→I13→I12→E07→E08→E09→H16→H15→H14→H13→H12→T11,"H,E,I","I12,E09,H12",3,19,18
I14,T12,I14→I13→I12→E07→E08→E09→H16→H15→H14→H13→H12→T11→T12,"H,T,E,I","I12,E09,H12",3,22.7,18
I14,T13,I14→I13→I12→E07→E08→E09→H16→H15→H14→H13→H12→T11→T12→T13,"H,T,E,I","I12,E09,H12",3,25.4,18
I14,T14,I14→I13→I12→E07→E08→E09→H16→H15→H14→H13→H12→T11→T12→T13→T14,"H,T,E,I","I12,E09,H12",3,27.8,18
I14,T15,I14→I13→I12→E07→E08→E09→H16→H15→H14→H13→H12→T11→T12→T13→T14→T15,"H,T,E,I","I12,E09,H12",3,30.6,18
I14,T16,I14→I13→I12→E07→E08→E09→H16→H15→H14→H13→H12→T11→T12→T13→T14→T15→T16,"H,T,E,I","I12,E09,H12",3,35.7,18
I14,T17,I14→I13→I12→E07→E08→E09→H16→H15→H14→H13→H12→T11→T12→T13→T14→T15→T16→T17,"H,T,E,I","I12,E09,H12",3,38.5,18
I14,T18,I14→I13→I12→E07→E08→E09→H16→H15→H14→H13→H12→T11→T12→T13→T14→T15→T16→T17→T18,"H,T,E,I","I12,E09,H12",3,42.3,18
I14,T19,I14→I13→I12→E07→E08→E09→H16→H15→H14→H13→H12→T11→T12→T13→T14→T15→T16→T17→T18→T19,"H,T,E,I","I12,E09,H12",3,45.1,18
I14,T20,I14→I13→I12→E07→E08→E09→H16→H15→H14→H13→H12→T11→T12→T13→T14→T15→T16→T17→T18→T19→T20,"H,T,E,I","I12,E09,H12",3,48.3,18
I14,T21,I14→I13→I12→E07→E08→E09→H16→H15→H14→H13→H12→T11→T12→T13→T14→T15→T16→T17→T18→T19→T20→T21,"H,T,E,I","I12,E09,H12",3,51.3,18
I14,T22,I14→I13→I12→E07→E08→E09→H16→H15→H14→H13→H12→T11→T12→T13→T14→T15→T16→T17→T18→T19→T20→T21→T22,"H,T,E,I","I12,E09,H12",3,55.5,18
I14,T23,I14→I13→I12→E07→E08→E09→H16→H15→H14→H13→H12→T11→T12→T13→T14→T15→T16→T17→T18→T19→T20→T21→T22→T23,"H,T,E,I","I12,E09,H12",3,59.3,18
I14,Y01,I14→I13→I12→M22→M23→M24→M25→F09→F08→Y08→Y07→Y06→Y05→Y04→Y03→Y02→Y01,"F,M,I,Y","I12,M25,F08",3,40.6,18
I14,Y02,I14→I13→I12→M22→M23→M24→M25→F09→F08→Y08→Y07→Y06→Y05→Y04→Y03→Y02,"F,M,I,Y","I12,M25,F08",3,36.3,18
I14,Y03,I14→I13→I12→M22→M23→M24→M25→F09→F08→Y08→Y07→Y06→Y05→Y04→Y03,"F,M,I,Y","I12,M25,F08",3,33.2,18
I14,Y04,I14→I13→I12→M22→M23→M24→M25→F09→F08→Y08→Y07→Y06→Y05→Y04,"F,M,I,Y","I12,M25,F08",3,29.5,18
I14,Y05,I14→I13→I12→M22→M23→M24→M25→F09→F08→Y08→Y07→Y06→Y05,"F,M,I,Y","I12,M25,F08",3,26.4,18
I14,Y06,I14→I13→I12→M22→M23→M24→M25→F09→F08→Y08→Y07→Y06,"F,M,I,Y","I12,M25,F08",3,23.2,18
I14,Y07,I14→I13→I12→M22→M23→M24→M25→F09→F08→Y08→Y07,"F,M,I,Y","I12,M25,F08",3,20.7,18
I14,Y08,I14→I13→I12→M22→M23→M24→M25→F09→F08→Y08,"F,M,I","I12,M25,F08",3,18.2,18
I14,Y09,I14→I13→I12→M22→M23→M24→M25→F09→Y09,"M,I","I12,M25,F09",3,15.8,18
I14,Y10,I14→I13→I12→E07→E06→Y13→Y12→Y11→Y10,"E,I,Y","I12,E06",2,17.2,12
I14,Y11,I14→I13→I12→E07→E06→Y13→Y12→Y11,"E,I,Y","I12,E06",2,14.5,12
I14,Y12,I14→I13→I12→E07→E06→Y13→Y12,"E,I,Y","I12,E06",2,11.5,12
I14,Y13,I14→I13→I12→E07→E06→Y13,"E,I","I12,E06",2,8.1,12
I14,Y14,I14→I13→I12→E07→M11→M12→N08→N09→Y14,"N,M,I","I12,E07,M12,N09",4,10.6,24
I14,Y15,I14→I13→I12→E07→M11→M12→N08→N09→Y14→Y15,"N,M,I,Y","I12,E07,M12,N09",4,13,24
I14,Y16,I14→I13→I12→E07→M11→M12→M13→Y16,"M,I","I12,E07,M13",3,11.1,18
I14,Y17,I14→I13→I12→E07→M11→M12→M13→Y16→Y17,"M,I,Y","I12,E07,M13",3,13.5,18
I14,Y18,I14→I13→I12→I11→I10→I09→I08→Y18,I,I08,1,15.6,6
I14,Y19,I14→I13→I12→I11→I10→I09→I08→Y18→Y19,"I,Y",I08,1,17.4,6
I14,Y20,I14→I13→I12→I11→I10→I09→I08→Y18→Y19→Y20,"I,Y",I08,1,19.4,6
I14,Y21,I14→I13→I12→I11→I10→I09→I08→Y18→Y19→Y20→Y21,"I,Y",I08,1,22.4,6
I14,Y22,I14→I13→I12→I11→I10→I09→I08→Y18→Y19→Y20→Y21→Y22,"I,Y",I08,1,25.5,6
I14,Y23,I14→I13→I12→I11→I10→I09→I08→Y18→Y19→Y20→Y21→Y22→Y23,"I,Y",I08,1,29,6
I14,Y24,I14→I13→I12→I11→I10→I09→I08→Y18→Y19→Y20→Y21→Y22→Y23→Y24,"I,Y",I08,1,32.2,6
I14,Z01,I14→I13→I12→E07→M11→M10→M09→F13→F14→F15→F16→Z01,"F,M,I","I12,E07,M09,F16",4,18.4,24
I14,Z02,I14→I13→I12→E07→M11→M12→M13→G05→G04→Z03→Z02,"Z,G,M,I","I12,E07,M13,G04",4,17.2,24
I14,Z03,I14→I13→I12→E07→M11→M12→M13→G05→G04→Z03,"G,M,I","I12,E07,M13,G04",4,14.1,24
I14,Z04,I14→I13→I12→E07→M11→M12→M13→Z04,"M,I","I12,E07,M13",3,11.1,18
I14,Z05,I14→I13→I12→E07→E06→T06→T07→Z06→Z05,"Z,T,E,I","I12,E06,T07",3,13.5,18
I14,Z06,I14→I13→I12→E07→E06→T06→T07→Z06,"T,E,I","I12,E06,T07",3,10.1,18
I14,Z07,I14→I13→I12→I11→I10→Z07,I,I10,1,10.1,6
I14,Z08,I14→I13→I12→I11→I10→I09→Z08,I,I09,1,13.2,6
I14,Z09,I14→I13→I12→I11→I10→I09→Z08→Z09,"Z,I",I09,1,15.2,6
I14,Z10,I14→I13→I12→I11→I10→I09→Z08→Z09→Z10,"Z,I",I09,1,18.2,6
I14,Z11,I14→I13→I12→E07→E08→E09→H16→H15→S08→S09→S10→S11→E13→E14→Z11,"H,E,I,S","I12,E09,H15,S11,E14",5,21.1,30
I14,Z12,I14→I13→I12→E07→E08→E09→H16→H15→S08→S09→S10→S11→S12→S13→Z12,"H,E,I,S","I12,E09,H15,S13",4,23.8,24
I14,Z13,I14→I13→I12→E07→E08→E09→E10→E11→A17→A18→A19→A20→Z14→Z13,"Z,A,E,I","I12,E11,A20",3,24.9,18
I14,Z14,I14→I13→I12→E07→E08→E09→E10→E11→A17→A18→A19→A20→Z14,"A,E,I","I12,E11,A20",3,21.8,18
I15,A01,I15→I14→I13→I12→E07→M11→M12→M13→G05→G06→G07→G08→A10→A09→A08→A07→A06→A05→A04→A03→A02→A01,"A,G,M,I","I12,E07,M13,G08",4,44.8,24
I15,A02,I15→I14→I13→I12→E07→M11→M12→M13→G05→G06→G07→G08→A10→A09→A08→A07→A06→A05→A04→A03→A02,"A,G,M,I","I12,E07,M13,G08",4,42,24
I15,A03,I15→I14→I13→I12→E07→M11→M12→M13→G05→G06→G07→G08→A10→A09→A08→A07→A06→A05→A04→A03,"A,G,M,I","I12,E07,M13,G08",4,39.6,24
I15,A04,I15→I14→I13→I12→E07→M11→M12→M13→G05→G06→G07→G08→A10→A09→A08→A07→A06→A05→A04,"A,G,M,I","I12,E07,M13,G08",4,36.9,24
I15,A05,I15→I14→I13→I12→E07→M11→M12→M13→G05→G06→G07→G08→A10→A09→A08→A07→A06→A05,"A,G,M,I","I12,E07,M13,G08",4,33.5,24
