attraction_id,attraction_name,nearest_station_id,nearest_station_name,distance_to_station_m,access_walk_time_min,pressure_score
P0075,Sumida Park,G19,Asakusa,785.1,13.085,0.63134
P0076,Tokyo Kotsu Kaikan Coline,M16,Ginza,190.8,3.18,0.631016
P0077,Sunshine City / Sunshine 60 Observatory,Y10,HigashiIkebukuro,394.9,6.5817,0.630756
P0078,roof sightseeing SKYTREE,G19,Asakusa,139.8,2.33,0.629406
P0079,Tokyo Midtown / Hinokicho Park,C05,Nogizaka,395.3,6.5883,0.628968
P0080,Hama-rikyu Gardens,G08,Shimbashi,925.7,15.4283,0.628809
P0081,"The National Art Center, Tokyo",C05,Nogizaka,176.1,2.935,0.62856
P0082,Lotus observation zone,G15,UenoHirokoji,288.0,4.8,0.481818
P0083,Ami Yokocho,G15,UenoHirokoji,248.3,4.1383,0.627184
P0084,Tokyo Plaza Harajuku 5F,F15,MeijiJingumae,29.9,0.4983,0.626557
P0085,Tokyo Plaza Harajuku 6F,F15,MeijiJingumae,30.6,0.51,0.626557
P0086,Tokyo Plaza Harajuku 7F,F15,MeijiJingumae,41.7,0.695,0.626557
P0087,Entry to the East Gardens,C11,Otemachi,266.5,4.4417,0.625499
P0088,shibuya-san tourist information＆art center,Z01,Shibuya,212.4,3.54,0.624716
P0089,Tsukiji Local Museum Park,H10,HigashiGinza,349.6,5.8267,0.624694
P0090,Tokyo Metropolitan Government Building Observatory,M07,NishiShinjuku,607.7,10.1283,0.623096
P0091,Kidzania Tokyo,Y22,Toyosu,439.0,7.3167,0.621666
P0092,"National Museum of Modern Art, Tokyo (MOMAT)",T08,Takebashi,275.5,4.5917,0.620995
P0093,Tokyo Metropolitan Government Office - South Observatory Deck,M07,NishiShinjuku,607.7,10.1283,0.620431
P0094,Big Neon Boards,M08,Shinjuku,208.7,3.4783,0.619779
P0095,Sumida Aquarium,Z14,Oshiage,437.0,7.2833,0.61924
P0096,View of Shibuya Crossing from Station Walkway Bridge,Z01,Shibuya,90.3,1.505,0.619116
P0097,Meiji University Museum,M20,Ochanomizu,280.1,4.6683,0.617902
P0098,"Tokyo Skytree Town Campus, Chiba Institute of Technology",Z14,Oshiage,198.6,3.31,0.616269
P0099,Miyashita Park south,Z01,Shibuya,199.2,3.32,0.615769
P0100,Tsukijigawa park,H11,Tsukiji,171.3,2.855,0.615705
P0101,Korea Museum,F12,HigashiShinjuku,409.4,6.8233,0.454545
P0102,Tōkyō Station View,M17,Tokyo,245.1,4.085,0.61451
P0103,teamLab Borderless,H05,Kamiyacho,332.4,5.54,0.614473
P0104,Omoide Yokocho,M08,Shinjuku,116.8,1.9467,0.613451
P0105,Shinjuku Gyoen National Garden,M10,ShinjukuGyoemmae,391.6,6.5267,0.612654
P0106,KidZania Tokyo / Urban Dock LaLaport Toyosu,Y22,Toyosu,439.0,7.3167,0.612575
P0107,Sunshine 60 Tennbodai (Viewpoint),Y10,HigashiIkebukuro,394.9,6.5817,0.612574
P0108,Sunshine observatory,Y10,HigashiIkebukuro,419.6,6.9933,0.612574
P0109,Mt. Fujimi,N14,Komagome,239.0,3.9833,0.481818
P0110,Hinokicho Park (Tokyo MidTown Main Winter Illumination),H04,Roppongi,422.2,7.0367,0.610786
P0111,Asakusa Hanayashiki,G19,Asakusa,605.3,10.0883,0.610643
P0112,Mitsubishi Ichigokan Museum,C10,Nijubashimae,258.4,4.3067,0.610149
P0113,Roppongi Museum,H04,Roppongi,441.9,7.365,0.609451
P0114,Hokutopia,N16,Oji,75.3,1.255,0.60944
P0115,Tsukiji River Ginza Park,H10,HigashiGinza,123.5,2.0583,0.609419
P0116,Tsukijigawa Kameibashi Park,Y20,Shintomicho,231.2,3.8533,0.609419
P0117,akasaka Sacas,C06,Akasaka,78.9,1.315,0.608815
P0118,akasaka Sacas,C06,Akasaka,112.0,1.8667,0.608815
P0119,Galaxy Shop,F15,MeijiJingumae,190.9,3.1817,0.608765
P0120,Rikugi Garden,N14,Komagome,300.5,5.0083,0.608265
P0121,Sword Shop & Ninja Experience by Samurai Ninja Museum,G18,Tawaramachi,332.4,5.54,0.60789
P0122,Sword Shop & Ninja Experience by Samurai Ninja Museum,G18,Tawaramachi,335.0,5.5833,0.60789
P0123,Train Museum,C16,NishiNippori,533.2,8.8867,0.454545
P0124,SOMPO Museum of Art,M10,ShinjukuGyoemmae,286.8,4.78,0.607062
P0125,teamLab Planets,Y22,Toyosu,855.9,14.265,0.605784
P0126,Institute for Nature Study,N02,Shirokanedai,455.4,7.59,0.605484
P0127,Fire Museum,M11,YotsuyaSanchome,64.8,1.08,0.603815
P0128,Bank of Japan Currency Museum,Z09,Mitsukoshimae,145.0,2.4167,0.603605
P0129,Tokyo Station Gallery,M17,Tokyo,162.6,2.71,0.603509
P0130,Observation deck,N11,Korakuen,43.0,0.7167,0.481818
P0131,Tsukijigawa Iwaibashi Park,H10,HigashiGinza,211.8,3.53,0.602745
P0132,Paupau Aqua Garden,M09,ShinjukuSanchome,269.3,4.4883,0.602676
P0133,Tokyo Toy Museum,M11,YotsuyaSanchome,248.1,4.135,0.602031
P0134,Ota Memorial Museum of Art,C03,MeijiJingumae,92.0,1.5333,0.601775
P0135,Kappabashi kitchen street,G18,Tawaramachi,330.0,5.5,0.601587
P0136,Tokyo Character Street,M17,Tokyo,321.6,5.36,0.600294
P0137,Tokyo Character Street,T09,Otemachi,349.9,5.8317,0.600294
P0138,Tokyo Character Street,T09,Otemachi,356.7,5.945,0.600294
P0139,Former Furukawa Gardens,N15,Nishigahara,524.5,8.7417,0.599959
P0140,Meiji Jingu Inner Garden,C03,MeijiJingumae,587.6,9.7933,0.599479
