station_id,station_name,line,lat,lon,operator
H17,NakaOkachimachi,Hibiya,35.706655,139.77619,TokyoMetro
H14,Ningyocho,Hibiya,35.686259,139.782339,TokyoMetro
H04,Roppongi,Hibiya,35.6628,139.731155,TokyoMetro
H06,ToranomonHills,Hibiya,35.667309,139.747738,TokyoMetro
M01,Ogikubo,Marunouchi,35.704175,139.61976,TokyoMetro
H11,Tsukiji,Hibiya,35.667928,139.772473,TokyoMetro
M13,AkasakaMitsuke,Marunouchi,35.676845,139.737347,TokyoMetro
M19,Awajicho,Marunouchi,35.69487,139.767455,TokyoMetro
M16,Ginza,Marunouchi,35.673159,139.763876,TokyoMetro
M04,HigashiKoenji,Marunouchi,35.697965,139.658295,TokyoMetro
M21,HongoSanchome,Marunouchi,35.706726,139.760154,TokyoMetro
M25,Ikebukuro,Marunouchi,35.730345,139.71115,TokyoMetro
M15,Kasumigaseki,Marunouchi,35.674235,139.75268,TokyoMetro
M14,KokkaiGijidomae,Marunouchi,35.674926,139.745473,TokyoMetro
M17,Tokyo,Marunouchi,35.681935,139.7648,TokyoMetro
M22,Korakuen,Marunouchi,35.707307,139.750861,TokyoMetro
M02,MinamiAsagaya,Marunouchi,35.699455,139.635575,TokyoMetro
M06,NakanoSakaue,Marunouchi,35.697085,139.682205,TokyoMetro
M07,NishiShinjuku,Marunouchi,35.694515,139.69256,TokyoMetro
M20,Ochanomizu,Marunouchi,35.70043,139.764405,TokyoMetro
M18,Otemachi,Marunouchi,35.686875,139.766203,TokyoMetro
M03,ShinKoenji,Marunouchi,35.69786,139.64851,TokyoMetro
M05,ShinNakano,Marunouchi,35.697475,139.66951,TokyoMetro
M10,ShinjukuGyoemmae,Marunouchi,35.688525,139.710915,TokyoMetro
M09,ShinjukuSanchome,Marunouchi,35.69118,139.70421,TokyoMetro
M11,YotsuyaSanchome,Marunouchi,35.687835,139.719325,TokyoMetro
M12,Yotsuya,Marunouchi,35.684197,139.730047,TokyoMetro
Mb04,NakanoFujimicho,MarunouchiBranch,35.69082,139.668155,TokyoMetro
T17,Kasai,Tozai,35.663616,139.87253,TokyoMetro
M06,NakanoSakaue,MarunouchiBranch,35.697085,139.682205,TokyoMetro
Mb05,NakanoShimbashi,MarunouchiBranch,35.691685,139.674001,TokyoMetro
T20,Gyotoku,Tozai,35.68262,139.914185,TokyoMetro
N19,AkabaneIwabuchi,Namboku,35.783355,139.72211,TokyoMetro
N04,AzabuJuban,Namboku,35.65481,139.737045,TokyoMetro
N13,HonKomagome,Namboku,35.724365,139.753812,TokyoMetro
N09,Ichigaya,Namboku,35.692894,139.736324,TokyoMetro
N10,Iidabashi,Namboku,35.701532,139.743716,TokyoMetro
N14,Komagome,Namboku,35.735913,139.746909,TokyoMetro
T19,MinamiGyotoku,Tozai,35.672729,139.902276,TokyoMetro
N11,Korakuen,Namboku,35.70839,139.751786,TokyoMetro
N01,Meguro,Namboku,35.632485,139.71566,TokyoMetro
N07,Nagatacho,Namboku,35.678338,139.739288,TokyoMetro
N15,Nishigahara,Namboku,35.745945,139.74226,TokyoMetro
N17,OjiKamiya,Namboku,35.765292,139.735641,TokyoMetro
N16,Oji,Namboku,35.75447,139.737362,TokyoMetro
N05,RoppongiItchome,Namboku,35.665075,139.7389,TokyoMetro
N18,Shimo,Namboku,35.778025,139.7325,TokyoMetro
N03,ShirokaneTakanawa,Namboku,35.643145,139.734285,TokyoMetro
N02,Shirokanedai,Namboku,35.63777,139.72586,TokyoMetro
N06,TameikeSanno,Namboku,35.673091,139.741294,TokyoMetro
N12,Todaimae,Namboku,35.718014,139.75788,TokyoMetro
N08,Yotsuya,Namboku,35.686082,139.72968,TokyoMetro
T22,BarakiNakayama,Tozai,35.7033,139.941915,TokyoMetro
T08,Takebashi,Tozai,35.69044,139.75767,TokyoMetro
T06,Iidabashi,Tozai,35.701403,139.746521,TokyoMetro
T05,Kagurazaka,Tozai,35.703865,139.73452,TokyoMetro
T11,Kayabacho,Tozai,35.680346,139.77927,TokyoMetro
T13,Kiba,Tozai,35.669356,139.807115,TokyoMetro
T07,Kudanshita,Tozai,35.696091,139.751265,TokyoMetro
T14,Toyocho,Tozai,35.66959,139.81768,TokyoMetro
T15,MinamiSunamachi,Tozai,35.668415,139.831695,TokyoMetro
T18,Urayasu,Tozai,35.665903,139.893236,TokyoMetro
T12,MonzenNakacho,Tozai,35.671892,139.796099,TokyoMetro
T21,Myoden,Tozai,35.691014,139.924286,TokyoMetro
T01,Nakano,Tozai,35.70574,139.665605,TokyoMetro
T10,Nihombashi,Tozai,35.682376,139.774101,TokyoMetro
T04,Waseda,Tozai,35.70568,139.72219,TokyoMetro
T23,NishiFunabashi,Tozai,35.707174,139.958767,TokyoMetro
T16,NishiKasai,Tozai,35.664562,139.8596,TokyoMetro
T02,Ochiai,Tozai,35.710635,139.685965,TokyoMetro
T09,Otemachi,Tozai,35.684697,139.76603,TokyoMetro
T03,Takadanobaba,Tozai,35.71328,139.705045,TokyoMetro
Y11,Gokokuji,Yurakucho,35.71918,139.72745,TokyoMetro
Y03,ChikatetsuAkatsuka,Yurakucho,35.769981,139.644,TokyoMetro
Y02,ChikatetsuNarimasu,Yurakucho,35.77674,139.63117,TokyoMetro
Y12,Edogawabashi,Yurakucho,35.709295,139.73413,TokyoMetro
Y19,GinzaItchome,Yurakucho,35.674519,139.766786,TokyoMetro
Y04,Heiwadai,Yurakucho,35.757555,139.6543,TokyoMetro
Y10,HigashiIkebukuro,Yurakucho,35.72595,139.718865,TokyoMetro
Y05,Hikawadai,Yurakucho,35.74962,139.66547,TokyoMetro
Y14,Ichigaya,Yurakucho,35.692576,139.736891,TokyoMetro
Y20,Shintomicho,Yurakucho,35.670529,139.773594,TokyoMetro
Y13,Iidabashi,Yurakucho,35.701342,139.743207,TokyoMetro
Y09,Ikebukuro,Yurakucho,35.729185,139.710885,TokyoMetro
Y01,Wakoshi,Yurakucho,35.78835,139.612865,TokyoMetro
Y08,Kanamecho,Yurakucho,35.733215,139.69848,TokyoMetro
Y15,Kojimachi,Yurakucho,35.684785,139.73735,TokyoMetro
Y06,KotakeMukaihara,Yurakucho,35.743395,139.67952,TokyoMetro
Y16,Nagatacho,Yurakucho,35.677895,139.741773,TokyoMetro
Y17,Sakuradamon,Yurakucho,35.677459,139.751886,TokyoMetro
Y07,Senkawa,Yurakucho,35.738175,139.6894,TokyoMetro
Y24,ShinKiba,Yurakucho,35.64578,139.826605,TokyoMetro
Y23,Tatsumi,Yurakucho,35.645775,139.81033,TokyoMetro
Y22,Toyosu,Yurakucho,35.655153,139.795994,TokyoMetro
Y21,Tsukishima,Yurakucho,35.664711,139.784405,TokyoMetro
Y18,Yurakucho,Yurakucho,35.675973,139.762286,TokyoMetro
